,Data,User,Pesan,Jam,Tanggal
10,11,AviantoRonny,"Membalas : Yup berarti benar day trading = zero sum game. yg cuan dapat uang dari yg boncos. Beda bila cuan di karenakan harga saham na
Kalo one day tradingnya di hari lk tersebut dikeluarkan kira2 gimana tu pak?
Yah itu yg sy maksud.. banyak jg retail yg "" gambling""  beli saham di hari LK krn prediksi di LK nya profit. Lalu saat LK keluar dan benar profit, maka  saham naik hr itu, kemudian TP di sore hari. 

Tetap ini masuk kriteria yg di sampaikan WB tadi
Menurut pendapat sy loh. Yg beda pendapat yah monggo
",8:07:04 PM,Saturday March 27 2021
11,12,Avianto,"Yup berarti benar day trading = zero sum game. 

yg cuan dapat uang dari yg boncos. 

Beda bila cuan di karenakan harga saham naik di sebabkan krn keberhasil perusahaan mencetak laba. Ini bukan zero sum game.
Saat org pegang saham bbrp waktu lalu harga naik saat LK keluar profit besar... maka banyak org tertarik saham tsb shg saham naik harganya",8:04:58 PM,Saturday March 27 2021
12,13,AviantoAho LieSatimin SejatiRui :rocket:🛩:speedboat::dancer:🏽Aho LieSatimin SejatiAho LieSatimin SejatiJimmy,"Membalas : jadi tempat cuci uang para koruptor di china daratan
Lebih enak dan aman di MBS sejak dibangun. Banyak penjudi dari mana mana lari ke MBS sekarang.
Membalas : Sebenarnya invest gak perlu harus selalu 10 th juga. Tadi diatas sy bilang meski hanya 2 minggu, saat org beli saham lalu jua
Sependek amatan saya avg down itu boleh dg pertimbangan2:
1. Sahamnya memang liquid
2. Mengenali S&R dg cermat
3. Penggunaan dana yang terencana.

Pendapat trading ga boleh avg down adalah sikap tegas supaya orang ga bingung karena harus memberikan penjelasan detil yang panjang-lebar. Sementara yang menerima penjelasan blm tentu bisa menangkap pesan dg clear.

Menghindari bias maka, langsung diambil sikap tegas.
Membalas : Sependek amatan saya avg down itu boleh dg pertimbangan2: 1. Sahamnya memang liquid 2. Mengenali S&R dg cermat 3. Penggunaan dan
Byk yg udah tau krmbsli ke praktek     
Membalas : Byk yg udah tau krmbsli ke praktek     
Saya yakin banyak yg tau. Tapi juga mungkin ada yg blom tau...

Karena ternyata ketika saya menemani teman2 sesama nyubi. Hal2 sederhana seperti inipun banyak yang terlewatkan
Membalas : Saya yakin banyak yg tau. Tapi juga mungkin ada yg blom tau... Karena ternyata ketika saya menemani teman2 sesama nyubi. Hal2 s
Ok   
Ya balik lagi k gaya masing2 dan kenyamanan masing2 dalam trading sih, kl mau survive d saham ya kudu rajin belajar dan disiplin, that's it, resiko juga ditanggung masing2  
Membalas : Ya balik lagi k gaya masing2 dan kenyamanan masing2 dalam trading sih, kl mau survive d saham ya kudu rajin belajar dan disiplin
Sepaket. Eh, sepakat...
Membalas : Ya balik lagi k gaya masing2 dan kenyamanan masing2 dalam trading sih, kl mau survive d saham ya kudu rajin belajar dan disiplin
Setuju srmoga kita semua beruntung   
Srlmt mlm minggu  
Kalo istilah bandar itu awalnya ada krn apa yah ? 

Banyak trader  merasa bhw harga saham di gerakan bandar. Jadi seolah2 bandar kerjaan nya ambil untung dr retail yg lugu.... dan sering CL.  Apa benar ? 

Lalu ada anggapan bhw kalo mau sukses jadi trader hrs bisa membaca pergerakan bandar. Makanya saat BEI mau hilangkan broksum saat jam bursa, banyak retail trader yg protes. Benar kah ?
",7:46:18 PM,Saturday March 27 2021
13,14,Fajar OktavariaYoko AngtolisNaufal AmmarAho LieAANBowAvianto,"Membalas : Bapak beli perusahaan buat 10 tahun juga spekulasi bukan? Siapa yg tau tiba2 bangkrut dll
Sebenarnya invest gak perlu  harus selalu 10 th juga. 

Tadi diatas sy bilang meski hanya 2 minggu, saat org beli saham lalu jual lagi krn merasa kebijakan perusahaan tdk sesuai dg plan awal dia saat beli saham, boleh aja sih di jual. 

Yg sy bahas diatas dari tadi adalah menurut WB,  DAY TRADING...  is gambling... 

Sy hanya ingin memberikan input ke teman2 sy yg newbie... bhw harus hati2 beli saham. Jangan hanya lihat org beli saham A, ikut beli. Trus ada anggapan, bhw trading gak kenal avg down.. hanya boleh CL... dll. 

Sekaligus meminta pendapat dari para suhu di sini... mengenai pernyataan WB tadi.
Wuiiih masih rame grup TT meski weekend.. Ga pada malam mingguan apa ini..  
Membalas : Wuiiih masih rame grup TT meski weekend.. Ga pada malam mingguan apa ini..
Hujan depok 🤭
Tuh ksn kita klo nasehatin org gsmpg kita sendr  
Membalas : Sebenarnya invest gak perlu harus selalu 10 th juga. Tadi diatas sy bilang meski hanya 2 minggu, saat org beli saham lalu jua
Kalo menurut saya, gambling ato ngga nya org tersebut dalam membeli sebua saham tergantung pak, apakah dia memang analisa ato hanya ikut2an. Seandainya dia memang menggunakan analida teknikal dengan timeframe yg singkat (minute, hourly) untuk melakukan day trading, maka sah sah saja dan bukan gambling. Tapi lain hal dengan org yg cuma ikut2an tanpa tau alasan dia membeli saham tersebut. Baru itu yg saya sebut gambling sih kalo menurut pendapat saya
Membalas : Sebenarnya invest gak perlu harus selalu 10 th juga. Tadi diatas sy bilang meski hanya 2 minggu, saat org beli saham lalu jua
   
Membalas : Disiplin itu mmg yang paling susah    sayapun sering gatal tangannya kalau lihat running trade di orderbook
Setuju kak rui, running trade buat saya juga agak berbahaya, kalau liat entah kenapa fomonya ga terkendali   ",7:41:20 PM,Saturday March 27 2021
14,15,Charles Prop,"Membalas : Kayaknya kita banyak sependapat ini pak
Seperti yg saya baca di website teguhhidayat, kenaikan bursa sekarang tidak mencerminkan kinerja real ekonomi kita. Bnyk yg mengalihkan dana operasional perusahaan ke bursa, 

Nanti kalau perekonomian sudah mulai normal lagi, yg tadinya duit operasional disaham akan diwd rame2 buat kembangin lg usaha realnya. Nanti disitu bursa baru akan bergejolak lagi.",7:38:35 PM,Saturday March 27 2021
15,16,Andre Salim,"Membalas : Lha kalau ini berarti anda yang kurang pas timing CL dan masuknya kak, bukan karena CL terus malah dapat harga tinggi jadi lebi
jadi tempat cuci uang para koruptor di china daratan",7:38:23 PM,Saturday March 27 2021
16,17,Fajar OktavariaSatimin Sejati,"Membalas : Kalau saya memang ada porto invest karena saya tahu ihsg ga akan selamanya kasi cuan terus trading. Ini sudah mendekati arb sime
Kayaknya kita banyak sependapat ini pak
Membalas : Lha kalau ini berarti anda yang kurang pas timing CL dan masuknya kak, bukan karena CL terus malah dapat harga tinggi jadi lebi
Ah iya saya baru sadar typo a ke v jauh  ",7:35:39 PM,Saturday March 27 2021
17,18,Rui :rocket:🛩:speedboat::dancer:🏽Aho Lie,"Membalas : Lha kalau ini berarti anda yang kurang pas timing CL dan masuknya kak, bukan karena CL terus malah dapat harga tinggi jadi lebi
Justru itu saya gak sesuai ama plan saya ci gak sesuai teori  
Disiplin itu mmg yang paling susah    sayapun sering gatal tangannya kalau lihat running trade di orderbook",7:33:47 PM,Saturday March 27 2021
18,19,Rui :rocket:🛩:speedboat::dancer:🏽,"Membalas : Tp ingat says pernah udah cl masuk kslah cepet malah dpt avg lebh tinggi jadi gak ada yg 100%bener
Lha kalau ini berarti anda yang kurang pas timing CL dan masuknya kak, bukan karena CL terus malah dapat harga tinggi jadi lebi baik ga usah CL
Minervini sendiri sering mengalami ini karena dia disiplin dg CL ketatnya dia, begitu CL harganya malah terbang, bedanya dia tidak FOMO buru2 kejar harga lagi, makanya meskipun akurasi dia cuma 50%an, dia bisa cuan banyak karena dia dengan disiplin CL, lossnya jd sedikit waktu analisa dia salah

Once again, CL is your best friend, if you want to survive in a long term, IMHO

Btw @kaanz_id seperti kata Fajar Oktavaria, Macau itu di Cina dan bukan LA, tapi Las Vegasnya Cina alias kota judi  🏼",7:32:51 PM,Saturday March 27 2021
19,20,AAN,"Membalas : Kalau saya memang ada porto invest karena saya tahu ihsg ga akan selamanya kasi cuan terus trading. Ini sudah mendekati arb sime
Betul pak,

Money comes from sitting, not trading",7:29:32 PM,Saturday March 27 2021
20,21,Kaanz✓,"CENT memang menarik dari chartnya, apalgi kan mau RI juga bisa cuan njedog tuh ",7:28:14 PM,Saturday March 27 2021
21,22,Aho LieCharles Prop,"Membalas : Kebetulan saya belom tertarik membaca tentang LKH dan buffet   Saya belom berani bermimpi setinggi itu, hehe Saya mulai da
Kalau saya memang ada porto invest karena saya tahu ihsg ga akan selamanya kasi cuan terus trading. Ini sudah mendekati arb simetris. Jadi ya saya sudah antisipasi kurangi trading. Ihsg jg sudah diatas 6rb sudah mau balik ke masa sebelum pandemi.
Jadi klo ngomong gampg praktek susah    saya dr dulu jg tau tp pass dpn laptop suks gak kuat",7:27:52 PM,Saturday March 27 2021
22,23,Aho Lie,"Membalas : Iya jg, kadang sdh CL, harga malah naik lagi, kejadiannya di TINS dulu
Saya sekrg di cent  padahal udah komit mau sampai target e...iseng pdhl beli dpt di 226 itu harga plg tinggi lgs haka naik terus sampai 300 e..turun jual dulu 272.  Naik lagi fomo beli 280 trus turun gsk tahan maksd mau cl trus masuk lg malah lebh tinggi tp srkrg udh plus dikit ",7:26:43 PM,Saturday March 27 2021
23,24,AANheryCharles PropAAN,"Membalas : Kalau lihat perjalanan WB. Dia loss bnyk tu di awal. Bahkan berkshire nya itu adalah salah satu kegagalan dia
Oh begitu ya, saya tidak tahu maaf  
Membalas : Oh begitu ya, saya tidak tahu maaf  
Santai pak. Untuk seorang buffet, lkh juga ga lsng lari bisanya semua perlu merangkak. Cuma kalau mau lebih sukses jgn jauh2 dr politikus. Itu yg dilakukan buffet dan soros
Membalas : sudah jogging sambil satude nait pak carik
hujan pak  
Membalas : Santai pak. Untuk seorang buffet, lkh juga ga lsng lari bisanya semua perlu merangkak. Cuma kalau mau lebih sukses jgn jauh2 dr
Kebetulan saya belom tertarik membaca tentang LKH dan buffet  



Saya belom berani bermimpi setinggi itu, hehe


Saya mulai dari yg saya temui dan saya kenal saja  


Mhn maaf jadi ngga tau kisah buffet mau pun LKH  ",7:24:23 PM,Saturday March 27 2021
24,25,Chai Lie,"Iya jg, kadang sdh CL, harga malah naik lagi, kejadiannya di TINS dulu  ",7:23:43 PM,Saturday March 27 2021
25,26,Charles Prop,"Membalas : Mungkin WB belom pernah menikmati cuan dari scalping Karena buat apa dia sudah kaya raya, hehe
Kalau lihat perjalanan WB. Dia loss bnyk tu di awal. Bahkan berkshire nya itu adalah salah satu kegagalan dia",7:23:09 PM,Saturday March 27 2021
26,27,RonnyAANAho Lieericko LNaufal AmmarRaymondAho LieAANAvianto,"Membalas : Gambling yg ter manage risk nya, setuju, Hehe Bukan kayak orang merem beli saham Itu pure judi 100% wkkwkwk
Tapi masih banyak juga yg merem beli saham nya pak. Karena ikut2 an teman atau fomo
Membalas : Tapi masih banyak juga yg merem beli saham nya pak. Karena ikut2 an teman atau fomo
Ya tdk apa apa duit duit dia sendiri hehehe



Orang beli tanaman bisa milyaran juga ga masalah kan


Hal yg gak masuk akal buat saya mungkin masuk akal bagi orang lain...    
Membalas : Tapi masih banyak juga yg merem beli saham nya pak. Karena ikut2 an teman atau fomo
Gimana beli nys pak emang masukin pin ma password tsu  
Membalas : Gimana beli nys pak emang masukin pin ma password tsu  
Wkwkkw
Membalas : Yup sy setuju. Sy cuma tergelitik dg yg di sampaikan WB ini. Kayaknya ada benarnya. Bgmn bisa seseorang beli perusahaan (ana
Bapak beli perusahaan buat 10 tahun juga spekulasi bukan? Siapa yg tau tiba2 bangkrut dll
Membalas : saya delete
sudah jogging sambil satude nait pak carik
Membalas : Bapak beli perusahaan buat 10 tahun juga spekulasi bukan? Siapa yg tau tiba2 bangkrut dll
Saya sampai sekrg mash pegang saham gak jalan ada 2 lg 
Membalas : Yup sy setuju. Sy cuma tergelitik dg yg di sampaikan WB ini. Kayaknya ada benarnya. Bgmn bisa seseorang beli perusahaan (ana
Mungkin WB belom pernah menikmati cuan dari scalping




Karena buat apa dia sudah kaya raya, hehe
Membalas : Makanya sy koq merasa, banyak teman2 sy yg masih baru di market belum sadar kalo day trading itu zero sum game. Jadi kalo dia
Day trading, swing trading, semua hanya masalah time frame. Apa bedanya pak?",7:18:09 PM,Saturday March 27 2021
27,28,Aho LieAAN,"Membalas : Day trading is not investing. Day trading is gambling. ... “Money is made in investments by investing and by owning good compani
Gambling yg ter manage risk nya, setuju,

Hehe

Bukan kayak orang merem beli saham

Itu pure judi 100% wkkwkwk
Membalas : Sebenarnya mau apapun sistem trading nya asal itu ngasilin cuan konsisten buat dia, ga masalah sih🤣
Setuju",7:17:34 PM,Saturday March 27 2021
28,29,AviantoFaliq HAho Lie,"Membalas : Saya salah satu penganut avg down dan sangat berat utk CL, ternyata dg ilustrasi ini membuka pikiranku mana yg lbh baik
Tp ingat says pernah udah cl masuk kslah cepet malah dpt avg lebh tinggi jadi gak ada yg 100%bener   
Membalas : Yg begini masuk akal cuma kalo pemula kayak saya, ga boleh banyak brg. Susah mantau dan hitung nya. Memang hrs punya stock unive
coba buat indeks HM100 pack, sangat membantu wkwk
Makanya sy koq merasa, banyak teman2 sy yg masih baru di market belum sadar kalo day trading itu zero sum game. 

Jadi kalo dia boncos, pasti ada org lain yg cuan. 

Beda kalo dia beli saham hari ini melihat prospek bagus , akan bagi deviden gede. Eh ternyata 2 minggu kemudian, gak bagi deviden (spt kasus BBTN), wajar kalo dia out dr saham itu krn kebijakan manajemen tdk sesuai yg di harapkan. 

Tapi kalo day trading, dia masuk pagi, sore dia jual... (krn apa dia jual), pasti krn udh cuan kecil (TP) atau krn rugi kecil (CL).",7:16:34 PM,Saturday March 27 2021
29,30,Kaanz✓Dharma Djiauw 饒,"Tmn saya yg pernah ikut seminar pak arga blg kalo pak arga masih pake garis support resistance (which is still TA) karena masih masuk akal menurut dia. Sedangkan tarik garis, gambar"" pola itu ga masuk akal. 
Tapi ya karena dia ga cocok, lalu ngembangin bandarmologi dan dia bisa cuan dr situ menurut saya silahkan aja kan dia beli pake duit dia 🤣 mungkin kalo dlu pak arga belajar dr basic dow theory, ad alesan di balik pattern"" itu mungkin bisa berbeda jalur creative tradernya
Membalas : Tmn saya yg pernah ikut seminar pak arga blg kalo pak arga masih pake garis support resistance (which is still TA) karena masih
Sebenarnya mau apapun sistem trading nya asal itu ngasilin cuan konsisten buat dia, ga masalah sih🤣",7:13:02 PM,Saturday March 27 2021
30,31,Chai Lie,"Membalas : Nah ini ilustrasi yg baik. 1. Avg 1040, avg down lagi di 990. Skrg harga di 1005 2. Avg 1040, CL di 990, masuk di 950. Skrg harg
Saya salah satu penganut avg down dan sangat berat utk CL, ternyata dg ilustrasi ini membuka pikiranku mana yg lbh baik  ",7:10:32 PM,Saturday March 27 2021
31,32,Charles PropKaanz✓Faliq HKaanz✓Fajar SuryoCharles PropDessy FangJutha BramJimmyheryCharles PropAviantoJimmy,"Membalas : Intinya yang penting cuan Om. Mau pake cara apapun sah-sah saja. Tapi benar kalo main terlalu cepat ya lebih cenderung ke gambli
Ia kalau yg pinter dari judi bisa jadi buka casino di makau. Saya lupa namanya cm orgnya uda meninggal warisannya bisnis judi dimana2 
Membalas : Ia kalau yg pinter dari judi bisa jadi buka casino di makau. Saya lupa namanya cm orgnya uda meninggal warisannya bisnis judi di
Ga sampe segitunya sih. Intinya ya statistic juga. Tiap meja casino ada statistiknya. Beberapa meja dan beberapa dealer somehow punya ""power"" berbeda. Intinya bukan selalu menang, tapi harus lebih banyak menangnya  
Yup sy setuju. 

Sy cuma tergelitik dg yg di sampaikan WB ini. Kayaknya ada benarnya. 

Bgmn bisa seseorang beli perusahaan (analaogi beli saham = beli perusahaan)  jam 10 pagi , lalu menjualnya jam 11.00 nya ? Kalo bukan judi apa namanya ?

Meski dg di balut TA, chart, apapun itu.. day trading tetap spt judi. Kalo kalah (turuh harga ), lsg CL. Kalo menang , lsg TP (narik duit)
Membalas : Ga sampe segitunya sih. Intinya ya statistic juga. Tiap meja casino ada statistiknya. Beberapa meja dan beberapa dealer somehow
Kalau menang terus justru bahaya pak   bagus2 cm diblacklist aja dr casino
Membalas : Wah tadi ada yang share nih disini, saham rakyat, asli ga tuh?🤔
saya delete
Membalas : Yup sy setuju. Sy cuma tergelitik dg yg di sampaikan WB ini. Kayaknya ada benarnya. Bgmn bisa seseorang beli perusahaan (ana
Itu kan prinsipnya WB, Pak. Buat yang trading mah bilangnya lain. Ngapain dibawa naik turun pada akhirnya malah turun lagi...     Masing-masing ada pembelaan lah. Macam aliran TA, FA, Bandarmologi, sampe aliran Bulan Bintang Planet. Semuanya bagus lah asal bisa bikin cuann   
Membalas : Nah tadi saya bilang TA yg mana dulu kan. Kalo TA yg udah dikenal publik bahkan sudah di ketahui bandar jadinya ya gitu Band
Insya Allah TA yg itu bilang kita ke 8000an kok 🤞
Membalas : saya delete
Mantap pak   
Membalas : Yup sy setuju. Sy cuma tergelitik dg yg di sampaikan WB ini. Kayaknya ada benarnya. Bgmn bisa seseorang beli perusahaan (ana
Ini agak sensitif sebenernya buat dibahas karena masyarakt kita msh tabu mengenai judi/spekulasi.

Tapi yang saya tangkep yg dimaksud dia, kalau investor beli saham ga perduli chart, indi, garis atau apapun itu, mereka beli krn yakin ini perusahaan bagus/dan pasti berkembang. Simplenya bapak punya tanah/logam mulia. Waktu bapak mau beli tanah/LM bapak ada liat chart ga? Ada liat teknikal ga? Ga perlu kan? Krn bapak uda tau harga tanah pasti naik ga perlu didebatin. 

Sedang trader yg dianggap spekulan itu ya beli berharap naik secepat dan sebanyaknya ga perduli mau ada kejadian apapun yg penting berdoa supaya naik dan cuan.
Malem minggu loh
Membalas : saya delete
Mantap pak carik 
Membalas : Ini agak sensitif sebenernya buat dibahas karena masyarakt kita msh tabu mengenai judi/spekulasi. Tapi yang saya tangkep yg dim
kadang didoain pun jg masih ga naik pak :(
Harus semedi dulu pak minta restu dari leluhur 
Membalas : kadang didoain pun jg masih ga naik pak :(
  . Bandar bangkrut pak kalau retail cuan terus",,Saturday March 27 2021
32,33,Charles Prop,"Membalas : Day trading is not investing. Day trading is gambling. ... “Money is made in investments by investing and by owning good compani
Wajar pak. Prinsip investasi ya hold jangka panjang. Kalau bapak beli rumah hari ini 1milyar besok jadi 2 milyar ya gitu analoginya. Sama seperti saham, kenaikan sehari 2 hari ya ga mencerminkan kinerja. Alias digoreng",6:59:51 PM,Saturday March 27 2021
33,34,Jimmy,"Membalas : Day trading is not investing. Day trading is gambling. ... “Money is made in investments by investing and by owning good compani
Intinya yang penting cuan Om. Mau pake cara apapun sah-sah saja. Tapi benar kalo main terlalu cepat ya lebih cenderung ke gambling. Tapi bukan berarti gambling ga bisa cuan. Saya ada beberapa teman yang memang penjudi professional dan memang judi buat nyari duit. Mereka bener2 fokus di meja judi dengan berbagai cara probabilitas. Jadi judinya mereka pun bukan untung2an...  ",6:57:02 PM,Saturday March 27 2021
34,35,BhagasKaanz✓Aho Lie,"Membalas : Deviden bagi pun jg ga akan besar. Dan ga ada artinya. Toh bbtn selama ini nyari duit dari kupon obligasi, yg harus dibayar bung
Krn waktu itu says persis pegsng bbtn begitu berits krluar naik 600%nsik tinggi says cuan lumyn saya udah bilg ama saudara sampai target 2000 kits tinggsl bener 2100 lebh lgs amblas bgt gak bagi deviden krn kbr bagus dan gak ngaruh banget ke saham sori ini pribadi bisa beda2 analisa gak kelar2🇦🇸   
Membalas : Ideal nya emang balik lg ke arb normal  .. Tp ya... Siap2 aja yg ga biasa arb 6% goyang nya mantap
Bakal tambah galau kalo yang ga disipilin cutlos 
yang penting cuan pak  
",6:30:16 PM,Saturday March 27 2021
35,36,BillypanjianomKaanz✓Charles Prop,"Membalas : Klo nurut saya begitu bilg untung nsik 600%lrbh tp deviden gak bagi
Deviden bagi pun jg ga akan besar. Dan ga ada artinya. Toh bbtn selama ini nyari duit dari kupon obligasi, yg harus dibayar bunganya tiap bulan lumayan tinggi. Kalau skrg ada profit buat jadiin modal kerja, berarti sudah terlihat btn ini mulai ada perbaikan kinerja.
Membalas : ARB simetris itu turun 25%
Wow bakal balik lagi kek awal dong?🤔
Membalas : Kalau forex lebih ke spekulasi pak.
Hmmmm. Kalo menguasai TA gak akan spekulasi krn sudah terukur pak. Cmiiw
Ideal nya emang balik lg ke arb normal  .. Tp ya... Siap2 aja yg ga biasa arb 6% goyang nya mantap",6:26:53 PM,Saturday March 27 2021
