,Data,User,Pesan,Jam,Tanggal
41,42,Satimin Sejati,"Sepakat. Beli cicil. 
Jadi yang dianjurkan dalam avg down adalah jika tradingnya sudah direncanakan (area entry-exit sdh ditentukan).",8:16:08 PM,Saturday March 27 2021
42,43,Hatsuko,"Membalas : Sependek amatan saya avg down itu boleh dg pertimbangan2: 1. Sahamnya memang liquid 2. Mengenali S&R dg cermat 3. Penggunaan dan
Lebih tepat sebenarnya konsep avg down adalah beli mencicil di satu emiten yg sama. Setelah selesai (mencicil sistem piramida, cicil 2,3,4 kali, dengan alokasi misal 20% total porto) tapi harganya lalu tetap turun 6% dari avg, cutloss. Kalau yg pembelian sekaligus (juga alokasi 20% porto) dan harganya turun juga 6% cutloss. Jadi konsepnya tetap disiplin cutloss saja dari alokasi 20% porto kalau harga turun 6%. Incar lagi saham yg sama setelah trend nya jadi bullish atau cari saham lain.  ",8:13:26 PM,Saturday March 27 2021
43,44,panjianom,"Membalas : Insya Allah TA yg itu bilang kita ke 8000an kok  
Ihsg ya pak? Kalo itu saya belum sempat cek lagi. Lgi ada mainan baru  ",8:11:34 PM,Saturday March 27 2021
44,45,Ronny,"Membalas : Yup berarti benar day trading = zero sum game. yg cuan dapat uang dari yg boncos. Beda bila cuan di karenakan harga saham na
Kalo one day tradingnya di hari lk tersebut dikeluarkan kira2 gimana tu pak?",8:07:04 PM,Saturday March 27 2021
45,46,Avianto,"Yup berarti benar day trading = zero sum game. 

yg cuan dapat uang dari yg boncos. 

Beda bila cuan di karenakan harga saham naik di sebabkan krn keberhasil perusahaan mencetak laba. Ini bukan zero sum game.
Saat org pegang saham bbrp waktu lalu harga naik saat LK keluar profit besar... maka banyak org tertarik saham tsb shg saham naik harganya",8:04:58 PM,Saturday March 27 2021
46,47,Aho Lie,"Membalas : Sependek amatan saya avg down itu boleh dg pertimbangan2: 1. Sahamnya memang liquid 2. Mengenali S&R dg cermat 3. Penggunaan dan
Byk yg udah tau krmbsli ke praktek     ",7:48:17 PM,Saturday March 27 2021
47,48,Satimin Sejati,"Membalas : Sebenarnya invest gak perlu harus selalu 10 th juga. Tadi diatas sy bilang meski hanya 2 minggu, saat org beli saham lalu jua
Sependek amatan saya avg down itu boleh dg pertimbangan2:
1. Sahamnya memang liquid
2. Mengenali S&R dg cermat
3. Penggunaan dana yang terencana.

Pendapat trading ga boleh avg down adalah sikap tegas supaya orang ga bingung karena harus memberikan penjelasan detil yang panjang-lebar. Sementara yang menerima penjelasan blm tentu bisa menangkap pesan dg clear.

Menghindari bias maka, langsung diambil sikap tegas.",7:47:06 PM,Saturday March 27 2021
48,49,Jimmy,Lebih enak dan aman di MBS sejak dibangun. Banyak penjudi dari mana mana lari ke MBS sekarang.,7:46:18 PM,Saturday March 27 2021
49,50,Avianto,"Membalas : Bapak beli perusahaan buat 10 tahun juga spekulasi bukan? Siapa yg tau tiba2 bangkrut dll
Sebenarnya invest gak perlu  harus selalu 10 th juga. 

Tadi diatas sy bilang meski hanya 2 minggu, saat org beli saham lalu jual lagi krn merasa kebijakan perusahaan tdk sesuai dg plan awal dia saat beli saham, boleh aja sih di jual. 

Yg sy bahas diatas dari tadi adalah menurut WB,  DAY TRADING...  is gambling... 

Sy hanya ingin memberikan input ke teman2 sy yg newbie... bhw harus hati2 beli saham. Jangan hanya lihat org beli saham A, ikut beli. Trus ada anggapan, bhw trading gak kenal avg down.. hanya boleh CL... dll. 

Sekaligus meminta pendapat dari para suhu di sini... mengenai pernyataan WB tadi.",7:41:20 PM,Saturday March 27 2021
50,51,Charles Prop,"Membalas : Kayaknya kita banyak sependapat ini pak
Seperti yg saya baca di website teguhhidayat, kenaikan bursa sekarang tidak mencerminkan kinerja real ekonomi kita. Bnyk yg mengalihkan dana operasional perusahaan ke bursa, 

Nanti kalau perekonomian sudah mulai normal lagi, yg tadinya duit operasional disaham akan diwd rame2 buat kembangin lg usaha realnya. Nanti disitu bursa baru akan bergejolak lagi.",7:38:35 PM,Saturday March 27 2021
51,52,Andre Salim,"Membalas : Lha kalau ini berarti anda yang kurang pas timing CL dan masuknya kak, bukan karena CL terus malah dapat harga tinggi jadi lebi
jadi tempat cuci uang para koruptor di china daratan",7:38:23 PM,Saturday March 27 2021
52,53,Satimin Sejati,"Membalas : Kalau saya memang ada porto invest karena saya tahu ihsg ga akan selamanya kasi cuan terus trading. Ini sudah mendekati arb sime
Kayaknya kita banyak sependapat ini pak",7:35:39 PM,Saturday March 27 2021
53,54,Aho Lie,"Membalas : Lha kalau ini berarti anda yang kurang pas timing CL dan masuknya kak, bukan karena CL terus malah dapat harga tinggi jadi lebi
Justru itu saya gak sesuai ama plan saya ci gak sesuai teori  ",7:33:47 PM,Saturday March 27 2021
54,55,Rui :rocket: :speedboat::dancer: ,"Membalas : Tp ingat says pernah udah cl masuk kslah cepet malah dpt avg lebh tinggi jadi gak ada yg 100%bener
Lha kalau ini berarti anda yang kurang pas timing CL dan masuknya kak, bukan karena CL terus malah dapat harga tinggi jadi lebi baik ga usah CL
Minervini sendiri sering mengalami ini karena dia disiplin dg CL ketatnya dia, begitu CL harganya malah terbang, bedanya dia tidak FOMO buru2 kejar harga lagi, makanya meskipun akurasi dia cuma 50%an, dia bisa cuan banyak karena dia dengan disiplin CL, lossnya jd sedikit waktu analisa dia salah

Once again, CL is your best friend, if you want to survive in a long term, IMHO

Btw @kaanz_id seperti kata Fajar Oktavaria, Macau itu di Cina dan bukan LA, tapi Las Vegasnya Cina alias kota judi   ",7:32:51 PM,Saturday March 27 2021
55,56,AAN,"Membalas : Kalau saya memang ada porto invest karena saya tahu ihsg ga akan selamanya kasi cuan terus trading. Ini sudah mendekati arb sime
Betul pak,

Money comes from sitting, not trading",7:29:32 PM,Saturday March 27 2021
56,57,Kaanz ,"CENT memang menarik dari chartnya, apalgi kan mau RI juga bisa cuan njedog tuh ",7:28:14 PM,Saturday March 27 2021
57,58,Charles Prop,"Membalas : Kebetulan saya belom tertarik membaca tentang LKH dan buffet   Saya belom berani bermimpi setinggi itu, hehe Saya mulai da
Kalau saya memang ada porto invest karena saya tahu ihsg ga akan selamanya kasi cuan terus trading. Ini sudah mendekati arb simetris. Jadi ya saya sudah antisipasi kurangi trading. Ihsg jg sudah diatas 6rb sudah mau balik ke masa sebelum pandemi.",7:27:52 PM,Saturday March 27 2021
58,59,Aho Lie,"Membalas : Iya jg, kadang sdh CL, harga malah naik lagi, kejadiannya di TINS dulu
Saya sekrg di cent  padahal udah komit mau sampai target e...iseng pdhl beli dpt di 226 itu harga plg tinggi lgs haka naik terus sampai 300 e..turun jual dulu 272.  Naik lagi fomo beli 280 trus turun gsk tahan maksd mau cl trus masuk lg malah lebh tinggi tp srkrg udh plus dikit ",7:26:43 PM,Saturday March 27 2021
59,60,AAN,"Membalas : Kalau lihat perjalanan WB. Dia loss bnyk tu di awal. Bahkan berkshire nya itu adalah salah satu kegagalan dia
Oh begitu ya, saya tidak tahu maaf  ",7:24:23 PM,Saturday March 27 2021
60,61,Chai Lie,"Membalas : Tp ingat says pernah udah cl masuk kslah cepet malah dpt avg lebh tinggi jadi gak ada yg 100%bener
Iya jg, kadang sdh CL, harga malah naik lagi, kejadiannya di TINS dulu  ",7:23:43 PM,Saturday March 27 2021
61,62,Charles Prop,"Membalas : Mungkin WB belom pernah menikmati cuan dari scalping Karena buat apa dia sudah kaya raya, hehe
Kalau lihat perjalanan WB. Dia loss bnyk tu di awal. Bahkan berkshire nya itu adalah salah satu kegagalan dia",7:23:09 PM,Saturday March 27 2021
62,63,AAN,"Membalas : Yup sy setuju. Sy cuma tergelitik dg yg di sampaikan WB ini. Kayaknya ada benarnya. Bgmn bisa seseorang beli perusahaan (ana
Mungkin WB belom pernah menikmati cuan dari scalping




Karena buat apa dia sudah kaya raya, hehe",7:21:37 PM,Saturday March 27 2021
63,64,Avianto,"Membalas : Gambling yg ter manage risk nya, setuju, Hehe Bukan kayak orang merem beli saham Itu pure judi 100% wkkwkwk
Tapi masih banyak juga yg merem beli saham nya pak. Karena ikut2 an teman atau fomo",7:18:09 PM,Saturday March 27 2021
64,65,Aho Lie,"Membalas : Sebenarnya mau apapun sistem trading nya asal itu ngasilin cuan konsisten buat dia, ga masalah sih 
Setuju",7:17:36 PM,Saturday March 27 2021
65,66,AAN,"Membalas : Day trading is not investing. Day trading is gambling. ...  Money is made in investments by investing and by owning good compani
Gambling yg ter manage risk nya, setuju,

Hehe

Bukan kayak orang merem beli saham

Itu pure judi 100% wkkwkwk",7:17:34 PM,Saturday March 27 2021
66,67,Avianto,"Makanya sy koq merasa, banyak teman2 sy yg masih baru di market belum sadar kalo day trading itu zero sum game. 

Jadi kalo dia boncos, pasti ada org lain yg cuan. 

Beda kalo dia beli saham hari ini melihat prospek bagus , akan bagi deviden gede. Eh ternyata 2 minggu kemudian, gak bagi deviden (spt kasus BBTN), wajar kalo dia out dr saham itu krn kebijakan manajemen tdk sesuai yg di harapkan. 

Tapi kalo day trading, dia masuk pagi, sore dia jual... (krn apa dia jual), pasti krn udh cuan kecil (TP) atau krn rugi kecil (CL).",7:17:08 PM,Saturday March 27 2021
67,68,Aho Lie,"Membalas : Saya salah satu penganut avg down dan sangat berat utk CL, ternyata dg ilustrasi ini membuka pikiranku mana yg lbh baik
Tp ingat says pernah udah cl masuk kslah cepet malah dpt avg lebh tinggi jadi gak ada yg 100%bener   ",7:16:34 PM,Saturday March 27 2021
68,69,Kaanz ,"Sebenarnya mau apapun sistem trading nya asal itu ngasilin cuan konsisten buat dia, ga masalah sih ",7:14:57 PM,Saturday March 27 2021
69,70,Dharma Djiauw  ,"Tmn saya yg pernah ikut seminar pak arga blg kalo pak arga masih pake garis support resistance (which is still TA) karena masih masuk akal menurut dia. Sedangkan tarik garis, gambar"" pola itu ga masuk akal. 
Tapi ya karena dia ga cocok, lalu ngembangin bandarmologi dan dia bisa cuan dr situ menurut saya silahkan aja kan dia beli pake duit dia   mungkin kalo dlu pak arga belajar dr basic dow theory, ad alesan di balik pattern"" itu mungkin bisa berbeda jalur creative tradernya",7:13:02 PM,Saturday March 27 2021
70,71,Chai Lie,"Membalas : Nah ini ilustrasi yg baik. 1. Avg 1040, avg down lagi di 990. Skrg harga di 1005 2. Avg 1040, CL di 990, masuk di 950. Skrg harg
Saya salah satu penganut avg down dan sangat berat utk CL, ternyata dg ilustrasi ini membuka pikiranku mana yg lbh baik  ",7:10:32 PM,Saturday March 27 2021
