,User,Pesan,Jam,Tanggal
12,Satimin Sejati,"Membalas : boleh tau kenapa berenti forex nya?
Ada beberapa pertimbangan. Klo diurai agak panjang pak penjelasannya.
Intinya saya ga cocok. Termasuk dg crypto. Saya baca buku ttg crypto langsung dg keputusan bulat. Ga mau coba.

Klo saham sbnernya sudah lama pengen. Alasannya saham bisa menggunakan beberapa mode (investasi, swing trading, one day trading) dg leluasa/flexible. 

Kira2 begitu cerita singkatnya",1:43:35 AM,Saturday March 27 2021
13,hery,boleh tau kenapa berenti forex nya?,1:37:30 AM,Saturday March 27 2021
14,Satimin Sejati,"Membalas : masih aktif sekarang atau sudah full saham?
Full saham pak...",1:34:50 AM,Saturday March 27 2021
15,hery,"still, no crypto ya pak
Membalas : Harus ksatria klo trading forex. Ga ada kompromi. Saatnya CL ya harus CL. Trader itu ksatria. Salah akui, terima resikonya. Ba
masih aktif sekarang atau sudah full saham?",1:34:10 AM,Saturday March 27 2021
16,Hanmadd,"Membalas : salah group pak?
Hari sabtu pak",1:29:57 AM,Saturday March 27 2021
17,Meneer Greg,"Membalas : nunggu pak meneer :grin:
Halah...:joy::joy:",1:27:25 AM,Saturday March 27 2021
18,hery,"Membalas : Wuih masih rame :grin::+1:
nunggu pak meneer :grin:
Membalas : $CAKE
salah group pak?",1:26:41 AM,Saturday March 27 2021
19,Hanmadd,$CAKE,1:25:39 AM,Saturday March 27 2021
20,Meneer Greg,Wuih masih rame :grin::+1:,1:23:32 AM,Saturday March 27 2021
21,Bagus Giant,"Membalas : Audio
Syahdu pakde :blush:",1:16:37 AM,Saturday March 27 2021
22,Charles Prop,"Membalas : Harus ksatria klo trading forex. Ga ada kompromi. Saatnya CL ya harus CL. Trader itu ksatria. Salah akui, terima resikonya. Ba
Betul pak. Lossnya berturut2 apalagi klo kena market crash lsng gap, SL pun bables",1:16:32 AM,Saturday March 27 2021
23,Hendro Masori,:+1:,1:15:40 AM,Saturday March 27 2021
24,Satimin Sejati,"Membalas : Loss di forex pahit pak. Lossnya sampe ambles2 ga bersisa krn leveragenya lebih dashyat puluhan sampe ratusan kali lipat dr marg
Harus ksatria klo trading forex. Ga ada kompromi. Saatnya CL ya harus CL.

Trader itu ksatria. Salah akui, terima resikonya.

Bangkit lagi dg psikology yg sehat dan pikiran yg jernih.

Itu pelajaran saya di forex 14tahun yang lalu",1:14:56 AM,Saturday March 27 2021
25,Dessy Fang,"Membalas : Back Test kenaikanorpenurunan Ex date SS.pptx
Thanks paakkk :pray:",1:13:35 AM,Saturday March 27 2021
26,hery,terima kasih pak @JuthaBram atas sharing dari membernya,1:12:20 AM,Saturday March 27 2021
27,Satimin Sejati,"Membalas : Back Test kenaikanorpenurunan Ex date SS.pptx
Nah ini salah satu guru saya nongol...
Saya terkesan dg beliau forecast time-nya.",1:11:59 AM,Saturday March 27 2021
28,Charles Prop,"Membalas : anak forex TA nya kuat nih :+1:
Loss di forex pahit pak. Lossnya sampe ambles2 ga bersisa krn leveragenya lebih dashyat puluhan sampe ratusan kali lipat dr margin ihsg",1:11:54 AM,Saturday March 27 2021
29,hery,"Membalas : Back Test kenaikanorpenurunan Ex date SS.pptx
wah, BRPT kemarin tidak menyenangkan yah",1:11:45 AM,Saturday March 27 2021
30,Hendro Masori,":+1:
Daging itu",1:10:52 AM,Saturday March 27 2021
31,hery,eh sudah nemu,1:10:17 AM,Saturday March 27 2021
32,Hendro Masori,"Eh bener Pak Carik
Ada",1:10:08 AM,Saturday March 27 2021
33,hery,Gambar : blob:https://web.telegram.org/cead1b47-5d62-46fd-ab17-722524933547,1:10:06 AM,Saturday March 27 2021
34,Dessy Fang,"Sy sndri jg lg siap2in psikologi, spy nti pas balik ar- simetris, psikologi trading bs lbh baik...",1:10:03 AM,Saturday March 27 2021
35,Hendro Masori,,1:09:58 AM,Saturday March 27 2021
36,Jutha Bram,,1:09:11 AM,Saturday March 27 2021
37,hery,yg temporary muncul,1:08:54 AM,Saturday March 27 2021
38,Hendro Masori,"Membalas : mestinya di saved message
Dimana Pak Carik?",1:08:37 AM,Saturday March 27 2021
39,hery,"Membalas : Tapi dimana ya disimpennya
mestinya di saved message",1:08:23 AM,Saturday March 27 2021
40,Bagus Giant,"Membalas : Saya rekam tadi
Dimana pakde ? Buat didengerin dini hari gini suaranya syahdu :joy::joy::grin:",1:08:19 AM,Saturday March 27 2021
41,Satimin Sejati,"Membalas : anak forex TA nya kuat nih :+1:
Ngerti dikit. Saya banyak belajar dari suhu2 disini",1:07:52 AM,Saturday March 27 2021
42,Dessy Fang,"Membalas : Saya ingin sharing mudah2 an newbie angkatan Corona tidak perlu melewati jalan yg saya lalui.
AMIN :raised_hands::raised_hands::raised_hands:",1:07:43 AM,Saturday March 27 2021
43,Hendro Masori,"Saya rekam tadi
Tapi dimana ya disimpennya
Masih gaptek
Hahahaha",1:06:55 AM,Saturday March 27 2021
44,Bagus Giant,Wah telat ikut voice chat nya pakde HM :sob::sob:,1:06:42 AM,Saturday March 27 2021
45,hery,"Membalas : Saya di market karena beruntung saja. Joint September tahun lalu hanya modal kecil. Hanya bermodal sedikit pengetahuan TA dari
anak forex TA nya kuat nih :+1:",1:06:25 AM,Saturday March 27 2021
46,Arie,:+1:🏻:pray:🏻,1:06:24 AM,Saturday March 27 2021
47,Hendro Masori,"Membalas : Dan saya merasa habis2an belajar saham dari sisi waktu. Hampir sll begadang hanya untuk terus belajar.
This is passion!",1:06:02 AM,Saturday March 27 2021
48,Satimin Sejati,"Dan saya merasa habis2an belajar saham dari sisi waktu.

Hampir sll begadang hanya untuk terus belajar.",1:05:46 AM,Saturday March 27 2021
49,Hendro Masori,"Dan ini juga salah satu yg melatarbelakangi saya bikin grup TT saat itu.
Yg join awal2 mustinya masih inget.
Saya ingin sharing mudah2 an newbie angkatan Corona tidak perlu melewati jalan yg saya lalui.
Pertambahan traders baru di tahun 2020 sangatlah fantastic",1:04:00 AM,Saturday March 27 2021
50,Dessy Fang,Respect :raised_hands::raised_hands:,1:03:03 AM,Saturday March 27 2021
51,Satimin Sejati,"Saya di market karena beruntung saja. Joint September tahun lalu hanya modal kecil.

Hanya bermodal sedikit pengetahuan TA dari forex.

Beruntungnya Okt-Januari market bullish. Walhasil modal balik. Dan segera tarik modal.

Dan sekarang hanya trading pakai uang cuan.

Ga kebayang klo saya di posisi pak HM 2015. Entahlah.

Tapi sejak awal saya ga pernah mau pakai margarin sih.",1:02:38 AM,Saturday March 27 2021
52,Dessy Fang,Iy nii...,1:02:02 AM,Saturday March 27 2021
53,Basss,Dini hari banyak daging :sob:,1:00:40 AM,Saturday March 27 2021
54,Hendro Masori,"Kenapa saya sarankan yg newbie jangan pake margin?
Karena disitu kehancuran awal saya
Kenapa saya sarankan start with small?
Karena disitu ke sok tahu an saya langsung masuk big",12:58:53 AM,Saturday March 27 2021
55,hery,"Membalas : Berarti istri pak HM berjasa ke banyak orang di TT ini. Salut dah... Dg kepercayaan dan support segitu besar.
sampaikan saja. ada di group loh :smirk:",12:58:40 AM,Saturday March 27 2021
56,Dessy Fang,"Kapan2 boleh pakde dbuat voice chat sprti td, sharring ttg pengalaman di market. Life lesson spy kita2 yg muda2 bs belajar",12:58:03 AM,Saturday March 27 2021
57,Hendro Masori,I've been through everything. Pahit manis asam asin di saham.,12:57:55 AM,Saturday March 27 2021
58,Satimin Sejati,"Membalas : Bukan saya yg minta Pak. Saya udah mau nyerah benernya
Berarti istri pak HM berjasa ke banyak orang di TT ini.

Salut dah...
Dg kepercayaan dan support segitu besar.",12:57:53 AM,Saturday March 27 2021
59,hery,keren comeback nya dan salut buat istrinya pakde. dibaca ya: bude keren :+1::+1:,12:56:56 AM,Saturday March 27 2021
60,Hendro Masori,"Bukan saya yg minta Pak. Saya udah mau nyerah benernya
",12:56:31 AM,Saturday March 27 2021
61,Satimin Sejati,"Membalas : Saat saya mau menyerah itu mau abis Pak Carik. Support yg saya sampaikan tadi adalah jual tanah buat modal baru lagi.
Sakti amat ini. Sampai jual tanah",12:56:04 AM,Saturday March 27 2021
62,Hendro Masori,"Membalas : lowest moment nya saat capital tergerus berapa % pakde?
Saat saya mau menyerah itu mau abis Pak Carik. Support yg saya sampaikan tadi adalah jual tanah buat modal baru lagi. :grin:
Cuma saya janji untuk merubah sistem trading dan mindset nya",12:55:32 AM,Saturday March 27 2021
63,Dessy Fang,"Membalas : wong kemarin saja banyak yang jadi sensitif di group. emosi meninggi
Iyaa ini pak.. :joy::joy: bs jd hari PMS sedunia
",12:55:04 AM,Saturday March 27 2021
64,Satimin Sejati,"Membalas : Masih banyak yg melek. :see_no_evil:
Gegara tadi nyari info MNC sec. Sama Private Placement EMTK jadi melek pak",12:54:03 AM,Saturday March 27 2021
65,hery,wong kemarin saja banyak yang jadi sensitif di group. emosi meninggi :sweat_smile:,12:53:46 AM,Saturday March 27 2021
66,Dessy Fang,"Membalas : Kbykn yg bru gitu.. :joy:
Cth nya klo koreksi yg dluan di carii adl berita :joy:",12:53:11 AM,Saturday March 27 2021
67,Satimin Sejati,"Membalas : wajar kok. kalau bisa salahin tetangga sekalian karena berisik saat lagi trading
Mengki misuh meneh pak...hahahaha...",12:53:02 AM,Saturday March 27 2021
68,hery,"Membalas : Kbykn yg bru gitu.. :joy:
wajar kok. kalau bisa salahin tetangga sekalian karena berisik saat lagi trading :smile:",12:52:34 AM,Saturday March 27 2021
69,Dessy Fang,"Membalas : Jadi mengurangi Fomo y kak
Iy",12:52:04 AM,Saturday March 27 2021
70,hery,"Membalas : 4 tahun
lowest moment nya saat capital tergerus berapa % pakde?",12:51:37 AM,Saturday March 27 2021
71,Dessy Fang,"Membalas : Mnrt saya agak konyol klo menjadikan faktor eksternal sebagai penyebab loss...
Kbykn yg bru gitu.. :joy:",12:51:03 AM,Saturday March 27 2021
72,hery,"700an, nungguin pakde :grin:",12:50:50 AM,Saturday March 27 2021
73,Edw,🤣🤣🤣,12:50:45 AM,Saturday March 27 2021
74,Hendro Masori,Masih banyak yg melek. :see_no_evil:,12:50:27 AM,Saturday March 27 2021
75,krm nugraha,"dikit dikit lg membiasakan biki  jurnal trading pake tulisan tangan.
yg lost pake pena merah yg opit pake warna biru.jd pas buka langsung kliatan banyak lost/propit:grin::grin::grin:",12:49:03 AM,Saturday March 27 2021
76,Satimin Sejati,"Membalas : Bener... jrg check up, dan keseringan lebih dlu menjadikan faktor eksternal sbg alasan....
Mnrt saya agak konyol klo menjadikan faktor eksternal sebagai penyebab loss...",12:48:31 AM,Saturday March 27 2021
77,Green,Jadi mengurangi Fomo y kak,12:47:52 AM,Saturday March 27 2021
78,Dessy Fang,"Membalas : Nah ini, sebagian kita bermasalah karena jarang atau bahakan tidak melakukan check-up. Begitu ada yang mau, ga tau caranya.
Bener... jrg check up, dan keseringan lebih dlu menjadikan faktor eksternal sbg alasan....",12:47:07 AM,Saturday March 27 2021
79,Efraim Arya,"Membalas : 2015 saya sudah selangkah lagi menyerah. Support istri yg membuat saya bertahan. Hanya waktu itu yg saya tau sistem trading sel
Super sekali pakde :+1::pray:",12:45:16 AM,Saturday March 27 2021
80,Hendro Masori,"Membalas : 2015 itu setelah beberapa tahun trading ya pakde. bukan 2 atau 3 tahun
4 tahun",12:42:44 AM,Saturday March 27 2021
81,Dessy Fang,"Membalas : 2015 saya sudah selangkah lagi menyerah. Support istri yg membuat saya bertahan. Hanya waktu itu yg saya tau sistem trading sel
Ini sy stuju ttg mindset, krn wktu sy orientasi nya pgn cuan gede, malah keseringan cutloss. :joy:

Klo skrg yg ptg porto bertumbuh, resiko terukur en jd lbh kalem..",12:42:25 AM,Saturday March 27 2021
82,Satimin Sejati,"Membalas : Kalau rajin bikin jurnal trading pasti tau kenapanya Pak
Sepakat pak lurah.",12:41:32 AM,Saturday March 27 2021
83,hery,"Membalas : 2015 saya sudah selangkah lagi menyerah. Support istri yg membuat saya bertahan. Hanya waktu itu yg saya tau sistem trading sel
2015 itu setelah beberapa tahun trading ya pakde. bukan 2 atau 3 tahun",12:40:51 AM,Saturday March 27 2021
84,Hendro Masori,"Membalas : Nah ini, sebagian kita bermasalah karena jarang atau bahakan tidak melakukan check-up. Begitu ada yang mau, ga tau caranya.
Kalau rajin bikin jurnal trading pasti tau kenapanya Pak",12:40:27 AM,Saturday March 27 2021
85,Dessy Fang,Wah yg single mesti cr pasangan ni biar ad yg support di market 🤣 wkwk #justkidding,12:40:22 AM,Saturday March 27 2021
86,Satimin Sejati,"Membalas : 2015 saya sudah selangkah lagi menyerah. Support istri yg membuat saya bertahan. Hanya waktu itu yg saya tau sistem trading sel
Nah ini, sebagian kita bermasalah karena jarang atau bahakan tidak melakukan check-up.

Begitu ada yang mau, ga tau caranya.",12:39:47 AM,Saturday March 27 2021
87,Hendro Masori,"Membalas : Masih ada yg ronda
Saya belum ngantuk",12:39:15 AM,Saturday March 27 2021
88,Dessy Fang,"Membalas : 2015 saya sudah selangkah lagi menyerah. Support istri yg membuat saya bertahan. Hanya waktu itu yg saya tau sistem trading sel
Thanks for sharring pak HM :raised_hands:",12:39:13 AM,Saturday March 27 2021
89,hery,"Membalas : Saya rasa karena TT ini dirawat. Pakdhenya masih sering masuk dalam diskusi, adminnya Pak Carik @luckv02 rajin ngekick dan delet
:pray::pray::pray:",12:36:47 AM,Saturday March 27 2021
90,Hendro Masori,"Membalas : Tadi pakde bahas ttg passion, sy jd tertarik pengen tau awal mula pak @hmasori menemukan passion di stock market bagaimana? Krn
2015 saya sudah selangkah lagi menyerah. Support istri yg membuat saya bertahan.

Hanya waktu itu yg saya tau sistem trading selama ini ada yg salah. Selama ini gak diperbaiki ya pasti hasilnya sama aja.

Perubahan terbesar yg saya lakukan adalah mindset. Sebelumnya pas buy yg dipikirin bisa cuan berapa. Bukan bisa loss berapa.

Yg paling penting waktu itu menurut saya adalah keyakinan bahwa saya pasti bisa karena saya tau saya punya passion, saya mau melakukan extra effort demi trading yg lebih baik.
Membalas : Saya rasa karena TT ini dirawat. Pakdhenya masih sering masuk dalam diskusi, adminnya Pak Carik @luckv02 rajin ngekick dan delet
Jozzzz Om Benhan",12:34:02 AM,Saturday March 27 2021
91,Dwi Purnomo Setyo Budi,Masih ada yg ronda,12:30:51 AM,Saturday March 27 2021
92,hery,saya rajin makan ikan :fish:,12:30:15 AM,Saturday March 27 2021
93,ericko L,"Membalas : welcome bu susilawati yang melegenda :tada:
awas ditenggelamkan pak carik",12:24:52 AM,Saturday March 27 2021
